,time,temp
627,1980-09-20,32.61314696
628,1980-09-21,33.36746828
629,1980-09-22,30.31046753
630,1980-09-23,34.51801154
631,1980-09-24,34.110968
632,1980-09-25,32.40094604
633,1980-09-26,35.49876098
634,1980-09-27,34.94334722
635,1980-09-28,34.92895514
636,1980-09-29,37.24124756
637,1980-09-30,35.64949334
638,1980-10-01,35.58461918
639,1980-10-02,33.660968
640,1980-10-03,32.250103754
641,1980-10-04,29.18717042
642,1980-10-05,33.079791254
643,1980-10-06,36.54152834
644,1980-10-07,35.92579964
645,1980-10-08,33.13796387
646,1980-10-09,28.45119632
647,1980-10-10,29.83717652
648,1980-10-11,17.795172199999996
649,1980-10-12,22.37855828
650,1980-10-13,18.93978266
651,1980-10-14,25.52147222
652,1980-10-15,33.62460332
653,1980-10-16,28.32551276
654,1980-10-17,24.82422494
655,1980-10-18,34.80184328
656,1980-10-19,33.712603754
657,1980-10-20,32.592108146
658,1980-10-21,32.67296753
659,1980-10-22,31.32109985
660,1980-10-23,35.29084478
661,1980-10-24,34.60595702
662,1980-10-25,34.6405091
663,1980-10-26,28.86450188
664,1980-10-27,31.718859872
665,1980-10-28,33.72710576
666,1980-10-29,31.46002196
667,1980-10-30,22.6416812
668,1980-10-31,21.5142089
669,1980-11-01,24.28001708
670,1980-11-02,31.76533202
671,1980-11-03,28.0123475
672,1980-11-04,33.69315794
673,1980-11-05,33.462939452
674,1980-11-06,27.220672399999998
675,1980-11-07,26.60565794
676,1980-11-08,19.2611876
677,1980-11-09,16.066966999999998
678,1980-11-10,13.685570599999998
679,1980-11-11,24.25485848
680,1980-11-12,23.686151
681,1980-11-13,26.9296448
682,1980-11-14,25.75119632
683,1980-11-15,24.58961186
684,1980-11-16,28.46943356
685,1980-11-17,24.2796875
686,1980-11-18,29.078186
687,1980-11-19,31.338513176
688,1980-11-20,28.22993168
689,1980-11-21,22.69628294
690,1980-11-22,28.80847166
691,1980-11-23,30.5062439
692,1980-11-24,31.448870852
693,1980-11-25,29.93495486
694,1980-11-26,30.886151126
695,1980-11-27,26.50370486
696,1980-11-28,23.916424640000002
697,1980-11-29,14.499987800000003
698,1980-11-30,14.091900799999998
699,1980-12-01,13.693811
700,1980-12-02,16.6275446
